Window,EnsembleType,ReferenceId,Nsim,Repeat,TargetN,NumAttempts,NumRejected,AcceptanceRatio,SeedBase,SmearOverlapRule
famp1,Reference,1,NaN,NaN,20000,20000,0,1,101001729,cell_union_psmear
famp1,Reference,2,NaN,NaN,20000,20000,0,1,102001729,cell_union_psmear
famp1,Reference,3,NaN,NaN,20000,20000,0,1,103001729,cell_union_psmear
famp1,SmallRun,NaN,20,1,20,20,0,1,201011729,cell_union_psmear
famp1,SmallRun,NaN,20,2,20,20,0,1,201021729,cell_union_psmear
famp1,SmallRun,NaN,20,3,20,20,0,1,201031729,cell_union_psmear
famp1,SmallRun,NaN,20,4,20,20,0,1,201041729,cell_union_psmear
famp1,SmallRun,NaN,20,5,20,20,0,1,201051729,cell_union_psmear
famp1,SmallRun,NaN,20,6,20,20,0,1,201061729,cell_union_psmear
famp1,SmallRun,NaN,20,7,20,20,0,1,201071729,cell_union_psmear
famp1,SmallRun,NaN,20,8,20,20,0,1,201081729,cell_union_psmear
famp1,SmallRun,NaN,20,9,20,20,0,1,201091729,cell_union_psmear
famp1,SmallRun,NaN,20,10,20,20,0,1,201101729,cell_union_psmear
famp1,SmallRun,NaN,20,11,20,20,0,1,201111729,cell_union_psmear
famp1,SmallRun,NaN,20,12,20,20,0,1,201121729,cell_union_psmear
famp1,SmallRun,NaN,20,13,20,20,0,1,201131729,cell_union_psmear
famp1,SmallRun,NaN,20,14,20,20,0,1,201141729,cell_union_psmear
famp1,SmallRun,NaN,20,15,20,20,0,1,201151729,cell_union_psmear
famp1,SmallRun,NaN,20,16,20,20,0,1,201161729,cell_union_psmear
famp1,SmallRun,NaN,20,17,20,20,0,1,201171729,cell_union_psmear
famp1,SmallRun,NaN,20,18,20,20,0,1,201181729,cell_union_psmear
famp1,SmallRun,NaN,20,19,20,20,0,1,201191729,cell_union_psmear
famp1,SmallRun,NaN,20,20,20,20,0,1,201201729,cell_union_psmear
famp1,SmallRun,NaN,20,21,20,20,0,1,201211729,cell_union_psmear
famp1,SmallRun,NaN,20,22,20,20,0,1,201221729,cell_union_psmear
famp1,SmallRun,NaN,20,23,20,20,0,1,201231729,cell_union_psmear
famp1,SmallRun,NaN,20,24,20,20,0,1,201241729,cell_union_psmear
famp1,SmallRun,NaN,20,25,20,20,0,1,201251729,cell_union_psmear
famp1,SmallRun,NaN,20,26,20,20,0,1,201261729,cell_union_psmear
famp1,SmallRun,NaN,20,27,20,20,0,1,201271729,cell_union_psmear
famp1,SmallRun,NaN,20,28,20,20,0,1,201281729,cell_union_psmear
famp1,SmallRun,NaN,20,29,20,20,0,1,201291729,cell_union_psmear
famp1,SmallRun,NaN,20,30,20,20,0,1,201301729,cell_union_psmear
famp1,SmallRun,NaN,50,1,50,50,0,1,202011729,cell_union_psmear
famp1,SmallRun,NaN,50,2,50,50,0,1,202021729,cell_union_psmear
famp1,SmallRun,NaN,50,3,50,50,0,1,202031729,cell_union_psmear
famp1,SmallRun,NaN,50,4,50,50,0,1,202041729,cell_union_psmear
