Window,Metric,Component,ReferencePair,Distance,FloorMedian,FloorMin,FloorMax
famp1,MAE,kxx,R1_R2,0.000995833333333331,0.0008875,0.000820833333333335,0.000995833333333331
famp1,MAE,kyy,R1_R2,0.000737499999999998,0.000991666666666667,0.000737499999999998,0.00100416666666667
famp1,MAE,kzz,R1_R2,0.000575000000000001,0.000575000000000001,0.000545833333333334,0.000654166666666667
famp1,Hellinger,kxx,R1_R2,0.0133524982397733,0.0108528970587879,0.0106027787922436,0.0133524982397733
famp1,Hellinger,kyy,R1_R2,0.0130406461696534,0.0130406461696534,0.0128490788879463,0.0131934349500059
famp1,Hellinger,kzz,R1_R2,0.01350550312585,0.01350550312585,0.0108766305554838,0.0140220230568262
famp1,Wasserstein,kxx,R1_R2,0.0165200006325234,0.0139289672251765,0.0101273203463046,0.0165200006325234
famp1,Wasserstein,kyy,R1_R2,0.0110678152472273,0.0110678152472273,0.00629754628845753,0.0112431757650685
famp1,Wasserstein,kzz,R1_R2,0.00731354968355582,0.0127847705727627,0.00731354968355582,0.0137001444852429
famp1,MAE,kxx,R1_R3,0.000820833333333335,0.0008875,0.000820833333333335,0.000995833333333331
famp1,MAE,kyy,R1_R3,0.000991666666666667,0.000991666666666667,0.000737499999999998,0.00100416666666667
famp1,MAE,kzz,R1_R3,0.000545833333333334,0.000575000000000001,0.000545833333333334,0.000654166666666667
famp1,Hellinger,kxx,R1_R3,0.0108528970587879,0.0108528970587879,0.0106027787922436,0.0133524982397733
famp1,Hellinger,kyy,R1_R3,0.0131934349500059,0.0130406461696534,0.0128490788879463,0.0131934349500059
famp1,Hellinger,kzz,R1_R3,0.0108766305554838,0.01350550312585,0.0108766305554838,0.0140220230568262
famp1,Wasserstein,kxx,R1_R3,0.0101273203463046,0.0139289672251765,0.0101273203463046,0.0165200006325234
famp1,Wasserstein,kyy,R1_R3,0.0112431757650685,0.0110678152472273,0.00629754628845753,0.0112431757650685
famp1,Wasserstein,kzz,R1_R3,0.0137001444852429,0.0127847705727627,0.00731354968355582,0.0137001444852429
famp1,MAE,kxx,R2_R3,0.0008875,0.0008875,0.000820833333333335,0.000995833333333331
famp1,MAE,kyy,R2_R3,0.00100416666666667,0.000991666666666667,0.000737499999999998,0.00100416666666667
famp1,MAE,kzz,R2_R3,0.000654166666666667,0.000575000000000001,0.000545833333333334,0.000654166666666667
famp1,Hellinger,kxx,R2_R3,0.0106027787922436,0.0108528970587879,0.0106027787922436,0.0133524982397733
famp1,Hellinger,kyy,R2_R3,0.0128490788879463,0.0130406461696534,0.0128490788879463,0.0131934349500059
famp1,Hellinger,kzz,R2_R3,0.0140220230568262,0.01350550312585,0.0108766305554838,0.0140220230568262
famp1,Wasserstein,kxx,R2_R3,0.0139289672251765,0.0139289672251765,0.0101273203463046,0.0165200006325234
famp1,Wasserstein,kyy,R2_R3,0.00629754628845753,0.0110678152472273,0.00629754628845753,0.0112431757650685
famp1,Wasserstein,kzz,R2_R3,0.0127847705727627,0.0127847705727627,0.00731354968355582,0.0137001444852429
famp2,MAE,kxx,R1_R2,0.000787500000000003,0.000633333333333335,0.000587499999999999,0.000787500000000003
famp2,MAE,kyy,R1_R2,0.000687499999999998,0.000729166666666664,0.000687499999999998,0.000862499999999998
famp2,MAE,kzz,R1_R2,0.000804166666666666,0.000804166666666666,0.0007,0.00134166666666667
famp2,Hellinger,kxx,R1_R2,0.0145802798570597,0.013161019066968,0.0070097046377692,0.0145802798570597
famp2,Hellinger,kyy,R1_R2,0.0172347022959486,0.0172956486429254,0.0172347022959486,0.0207225193453564
famp2,Hellinger,kzz,R1_R2,0.0137417060474286,0.0137417060474286,0.0120836361717089,0.0183123525077707
famp2,Wasserstein,kxx,R1_R2,0.00454141427936138,0.00454141427936138,0.00431091314577782,0.00497052945208431
famp2,Wasserstein,kyy,R1_R2,0.00568840450670236,0.0150277725196113,0.00568840450670236,0.0170319790147457
famp2,Wasserstein,kzz,R1_R2,0.008365686390763,0.0191174857576936,0.008365686390763,0.0194666135002663
famp2,MAE,kxx,R1_R3,0.000633333333333335,0.000633333333333335,0.000587499999999999,0.000787500000000003
famp2,MAE,kyy,R1_R3,0.000729166666666664,0.000729166666666664,0.000687499999999998,0.000862499999999998
famp2,MAE,kzz,R1_R3,0.0007,0.000804166666666666,0.0007,0.00134166666666667
famp2,Hellinger,kxx,R1_R3,0.013161019066968,0.013161019066968,0.0070097046377692,0.0145802798570597
famp2,Hellinger,kyy,R1_R3,0.0207225193453564,0.0172956486429254,0.0172347022959486,0.0207225193453564
