Window,Nsim,Repeat,Metric,Component,Score
famp1,20,1,MAE,kxx,0.0228916666666667
famp1,20,1,MAE,kyy,0.0261416666666667
famp1,20,1,MAE,kzz,0.0153833333333333
famp1,20,1,Hellinger,kxx,0.325825253488249
famp1,20,1,Hellinger,kyy,0.332753544482745
famp1,20,1,Hellinger,kzz,0.249493776361886
famp1,20,1,Wasserstein,kxx,0.221683442039686
famp1,20,1,Wasserstein,kyy,0.389336094882111
famp1,20,1,Wasserstein,kzz,0.30209839680959
famp1,20,2,MAE,kxx,0.0335166666666667
famp1,20,2,MAE,kyy,0.0308916666666667
famp1,20,2,MAE,kzz,0.0143875
famp1,20,2,Hellinger,kxx,0.441039355657481
famp1,20,2,Hellinger,kyy,0.379904851796051
famp1,20,2,Hellinger,kzz,0.307439895003528
famp1,20,2,Wasserstein,kxx,0.475697001283703
famp1,20,2,Wasserstein,kyy,0.169648874248055
famp1,20,2,Wasserstein,kzz,0.216765049488092
famp1,20,3,MAE,kxx,0.0163875
famp1,20,3,MAE,kyy,0.0145125
famp1,20,3,MAE,kzz,0.0289375
famp1,20,3,Hellinger,kxx,0.288880119766136
famp1,20,3,Hellinger,kyy,0.32395695374154
famp1,20,3,Hellinger,kzz,0.315419582535983
famp1,20,3,Wasserstein,kxx,0.137378303566788
famp1,20,3,Wasserstein,kyy,0.19468565253118
famp1,20,3,Wasserstein,kzz,0.271271099143468
famp1,20,4,MAE,kxx,0.0152541666666667
famp1,20,4,MAE,kyy,0.0166583333333333
famp1,20,4,MAE,kzz,0.0121
famp1,20,4,Hellinger,kxx,0.275662783555441
famp1,20,4,Hellinger,kyy,0.315269576076704
famp1,20,4,Hellinger,kzz,0.209612978230855
famp1,20,4,Wasserstein,kxx,0.137390764439082
famp1,20,4,Wasserstein,kyy,0.164779183377671
famp1,20,4,Wasserstein,kzz,0.264227875156964
famp1,20,5,MAE,kxx,0.0183666666666667
famp1,20,5,MAE,kyy,0.0112041666666667
famp1,20,5,MAE,kzz,0.0128333333333333
famp1,20,5,Hellinger,kxx,0.297900275220543
famp1,20,5,Hellinger,kyy,0.242648465576714
famp1,20,5,Hellinger,kzz,0.25610422481427
famp1,20,5,Wasserstein,kxx,0.151283407991295
famp1,20,5,Wasserstein,kyy,0.160496860937247
famp1,20,5,Wasserstein,kzz,0.10445279006358
famp1,20,6,MAE,kxx,0.0221333333333333
famp1,20,6,MAE,kyy,0.0155875
famp1,20,6,MAE,kzz,0.0194875
famp1,20,6,Hellinger,kxx,0.353770119872142
famp1,20,6,Hellinger,kyy,0.309039855508255
famp1,20,6,Hellinger,kzz,0.229903034505146
famp1,20,6,Wasserstein,kxx,0.199230998827316
famp1,20,6,Wasserstein,kyy,0.177241058646758
famp1,20,6,Wasserstein,kzz,0.257367578653434
famp1,20,7,MAE,kxx,0.0258666666666667
famp1,20,7,MAE,kyy,0.0141583333333333
famp1,20,7,MAE,kzz,0.0134416666666667
famp1,20,7,Hellinger,kxx,0.312445102170204
famp1,20,7,Hellinger,kyy,0.201333037651905
famp1,20,7,Hellinger,kzz,0.227049192809965
famp1,20,7,Wasserstein,kxx,0.172476439375966
famp1,20,7,Wasserstein,kyy,0.109664396113479
famp1,20,7,Wasserstein,kzz,0.221816356024145
famp1,20,8,MAE,kxx,0.024675
famp1,20,8,MAE,kyy,0.0192083333333333
famp1,20,8,MAE,kzz,0.0163541666666667
famp1,20,8,Hellinger,kxx,0.278859900028529
famp1,20,8,Hellinger,kyy,0.363193919276224
famp1,20,8,Hellinger,kzz,0.31880009288125
famp1,20,8,Wasserstein,kxx,0.194655049768807
famp1,20,8,Wasserstein,kyy,0.255265793977326
famp1,20,8,Wasserstein,kzz,0.311458071547128
famp1,20,9,MAE,kxx,0.0264125
famp1,20,9,MAE,kyy,0.0189083333333333
famp1,20,9,MAE,kzz,0.0125333333333333
famp1,20,9,Hellinger,kxx,0.391996670316834
famp1,20,9,Hellinger,kyy,0.353595578164028
famp1,20,9,Hellinger,kzz,0.242366408644369
famp1,20,9,Wasserstein,kxx,0.283277912058566
famp1,20,9,Wasserstein,kyy,0.437784962761299
famp1,20,9,Wasserstein,kzz,0.157955770203425
famp1,20,10,MAE,kxx,0.0236
famp1,20,10,MAE,kyy,0.0207541666666667
famp1,20,10,MAE,kzz,0.0244375
famp1,20,10,Hellinger,kxx,0.328088882373858
famp1,20,10,Hellinger,kyy,0.366305583280742
famp1,20,10,Hellinger,kzz,0.302882351474403
famp1,20,10,Wasserstein,kxx,0.207355408837451
famp1,20,10,Wasserstein,kyy,0.200025413936306
famp1,20,10,Wasserstein,kzz,0.267660234763226
famp1,20,11,MAE,kxx,0.0333958333333333
famp1,20,11,MAE,kyy,0.0140291666666667
famp1,20,11,MAE,kzz,0.018875
famp1,20,11,Hellinger,kxx,0.478455235211679
famp1,20,11,Hellinger,kyy,0.294636812746578
famp1,20,11,Hellinger,kzz,0.232844462969191
famp1,20,11,Wasserstein,kxx,0.4280128680562
famp1,20,11,Wasserstein,kyy,0.294146671836992
famp1,20,11,Wasserstein,kzz,0.111104836939051
famp1,20,12,MAE,kxx,0.0258041666666667
famp1,20,12,MAE,kyy,0.0150416666666667
famp1,20,12,MAE,kzz,0.0155041666666667
famp1,20,12,Hellinger,kxx,0.372401154396801
famp1,20,12,Hellinger,kyy,0.307084783526948
famp1,20,12,Hellinger,kzz,0.231200666551141
famp1,20,12,Wasserstein,kxx,0.419458209054269
famp1,20,12,Wasserstein,kyy,0.366758140643436
famp1,20,12,Wasserstein,kzz,0.214098208966172
famp1,20,13,MAE,kxx,0.026675
famp1,20,13,MAE,kyy,0.0236875
famp1,20,13,MAE,kzz,0.0112166666666667
famp1,20,13,Hellinger,kxx,0.359465361714111
famp1,20,13,Hellinger,kyy,0.298196940835567
famp1,20,13,Hellinger,kzz,0.241669916858494
famp1,20,13,Wasserstein,kxx,0.179913976178493
famp1,20,13,Wasserstein,kyy,0.208222994235465
famp1,20,13,Wasserstein,kzz,0.310832797892416
famp1,20,14,MAE,kxx,0.0201041666666667
famp1,20,14,MAE,kyy,0.0134458333333333
famp1,20,14,MAE,kzz,0.0128041666666667
famp1,20,14,Hellinger,kxx,0.310770689940931
famp1,20,14,Hellinger,kyy,0.238732625219233
famp1,20,14,Hellinger,kzz,0.299391759149389
famp1,20,14,Wasserstein,kxx,0.19552577731479
famp1,20,14,Wasserstein,kyy,0.250325598141928
famp1,20,14,Wasserstein,kzz,0.232473574503588
famp1,20,15,MAE,kxx,0.0262833333333333
famp1,20,15,MAE,kyy,0.009675
famp1,20,15,MAE,kzz,0.0164541666666667
famp1,20,15,Hellinger,kxx,0.379808028378604
famp1,20,15,Hellinger,kyy,0.230318308789299
famp1,20,15,Hellinger,kzz,0.233807823925721
famp1,20,15,Wasserstein,kxx,0.395244911169617
famp1,20,15,Wasserstein,kyy,0.163463503943359
famp1,20,15,Wasserstein,kzz,0.254580593633122
famp1,20,16,MAE,kxx,0.0238666666666667
famp1,20,16,MAE,kyy,0.0133791666666667
famp1,20,16,MAE,kzz,0.0151666666666667
famp1,20,16,Hellinger,kxx,0.320985732675251
famp1,20,16,Hellinger,kyy,0.212706488983204
famp1,20,16,Hellinger,kzz,0.296492772134883
famp1,20,16,Wasserstein,kxx,0.214530363956407
famp1,20,16,Wasserstein,kyy,0.205678169837353
famp1,20,16,Wasserstein,kzz,0.0875337720944932
famp1,20,17,MAE,kxx,0.0165791666666667
famp1,20,17,MAE,kyy,0.0190666666666667
famp1,20,17,MAE,kzz,0.0239625
famp1,20,17,Hellinger,kxx,0.310151978835456
famp1,20,17,Hellinger,kyy,0.280032553145078
famp1,20,17,Hellinger,kzz,0.291466186546048
famp1,20,17,Wasserstein,kxx,0.236444823490896
famp1,20,17,Wasserstein,kyy,0.350851624138635
famp1,20,17,Wasserstein,kzz,0.329465785398264
famp1,20,18,MAE,kxx,0.0179208333333333
famp1,20,18,MAE,kyy,0.0177
famp1,20,18,MAE,kzz,0.0202458333333333
famp1,20,18,Hellinger,kxx,0.315162452668544
famp1,20,18,Hellinger,kyy,0.275698788814852
famp1,20,18,Hellinger,kzz,0.278347460632352
famp1,20,18,Wasserstein,kxx,0.406548767564817
famp1,20,18,Wasserstein,kyy,0.532672120686891
famp1,20,18,Wasserstein,kzz,0.0834775941325466
famp1,20,19,MAE,kxx,0.0229458333333333
famp1,20,19,MAE,kyy,0.0157583333333333
famp1,20,19,MAE,kzz,0.0237625
famp1,20,19,Hellinger,kxx,0.335561777235539
famp1,20,19,Hellinger,kyy,0.270267411229376
famp1,20,19,Hellinger,kzz,0.324747759401291
famp1,20,19,Wasserstein,kxx,0.33697160162558
famp1,20,19,Wasserstein,kyy,0.255422442443742
famp1,20,19,Wasserstein,kzz,0.301902552159381
famp1,20,20,MAE,kxx,0.020175
famp1,20,20,MAE,kyy,0.0222375
famp1,20,20,MAE,kzz,0.007625
famp1,20,20,Hellinger,kxx,0.343249209083687
famp1,20,20,Hellinger,kyy,0.315200211899902
