Window,Nsim,Metric,Component,MedianScore,P10Score,P90Score,FloorMedian,FloorMin,FloorMax
famp1,20,MAE,kxx,0.0194916666666667,0.0130895833333333,0.0261145833333333,0.000916666666666666,0.000554166666666668,0.00118333333333333
famp1,20,MAE,kyy,0.01258125,0.00843333333333333,0.02260625,0.000583333333333336,0.000258333333333335,0.000620833333333334
famp1,20,MAE,kzz,0.0159125,0.0091875,0.02610625,0.000679166666666667,0.000558333333333333,0.000891666666666667
famp1,20,Hellinger,kxx,0.301278442591676,0.229876407000592,0.365003566364033,0.0112045139838555,0.00830165839071879,0.0127399250688381
famp1,20,Hellinger,kyy,0.24721063072472,0.202537489882589,0.293065621541705,0.0146334873295402,0.0126537722887836,0.0189532368363361
famp1,20,Hellinger,kzz,0.249346783178048,0.199543844789667,0.328176434292272,0.014194691004289,0.01085584593857,0.0163230971438853
famp1,20,Wasserstein,kxx,0.204796862042466,0.150094632539252,0.302699922605229,0.00826502711789353,0.00673157433502678,0.0104200505718237
famp1,20,Wasserstein,kyy,0.142727763813038,0.0942298471008473,0.199142935977154,0.0119596141431105,0.00382765389158502,0.0123240954584999
famp1,20,Wasserstein,kzz,0.217516878589601,0.093724358826843,0.271591243282213,0.0189811328235022,0.00774858257396832,0.0244228473054547
famp1,50,MAE,kxx,0.0118979166666667,0.00919166666666667,0.0159229166666667,0.000916666666666666,0.000554166666666668,0.00118333333333333
famp1,50,MAE,kyy,0.00885416666666667,0.00480625,0.01415625,0.000583333333333336,0.000258333333333335,0.000620833333333334
famp1,50,MAE,kzz,0.00893541666666667,0.00476666666666666,0.0138666666666667,0.000679166666666667,0.000558333333333333,0.000891666666666667
famp1,50,Hellinger,kxx,0.202955004093537,0.13817522004191,0.248554975177688,0.0112045139838555,0.00830165839071879,0.0127399250688381
famp1,50,Hellinger,kyy,0.156650043965862,0.125796363762589,0.206402985643248,0.0146334873295402,0.0126537722887836,0.0189532368363361
