Window,Metric,Component,ReferencePair,Distance,FloorMedian,FloorMin,FloorMax
famp1,MAE,kxx,R1_R2,0.00118333333333333,0.000916666666666666,0.000554166666666668,0.00118333333333333
famp1,MAE,kyy,R1_R2,0.000583333333333336,0.000583333333333336,0.000258333333333335,0.000620833333333334
famp1,MAE,kzz,R1_R2,0.000679166666666667,0.000679166666666667,0.000558333333333333,0.000891666666666667
famp1,Hellinger,kxx,R1_R2,0.0127399250688381,0.0112045139838555,0.00830165839071879,0.0127399250688381
famp1,Hellinger,kyy,R1_R2,0.0126537722887836,0.0146334873295402,0.0126537722887836,0.0189532368363361
famp1,Hellinger,kzz,R1_R2,0.01085584593857,0.014194691004289,0.01085584593857,0.0163230971438853
famp1,Wasserstein,kxx,R1_R2,0.0104200505718237,0.00826502711789353,0.00673157433502678,0.0104200505718237
famp1,Wasserstein,kyy,R1_R2,0.0119596141431105,0.0119596141431105,0.00382765389158502,0.0123240954584999
famp1,Wasserstein,kzz,R1_R2,0.00774858257396832,0.0189811328235022,0.00774858257396832,0.0244228473054547
famp1,MAE,kxx,R1_R3,0.000916666666666666,0.000916666666666666,0.000554166666666668,0.00118333333333333
famp1,MAE,kyy,R1_R3,0.000258333333333335,0.000583333333333336,0.000258333333333335,0.000620833333333334
famp1,MAE,kzz,R1_R3,0.000558333333333333,0.000679166666666667,0.000558333333333333,0.000891666666666667
famp1,Hellinger,kxx,R1_R3,0.0112045139838555,0.0112045139838555,0.00830165839071879,0.0127399250688381
famp1,Hellinger,kyy,R1_R3,0.0146334873295402,0.0146334873295402,0.0126537722887836,0.0189532368363361
famp1,Hellinger,kzz,R1_R3,0.014194691004289,0.014194691004289,0.01085584593857,0.0163230971438853
famp1,Wasserstein,kxx,R1_R3,0.00673157433502678,0.00826502711789353,0.00673157433502678,0.0104200505718237
famp1,Wasserstein,kyy,R1_R3,0.00382765389158502,0.0119596141431105,0.00382765389158502,0.0123240954584999
famp1,Wasserstein,kzz,R1_R3,0.0189811328235022,0.0189811328235022,0.00774858257396832,0.0244228473054547
famp1,MAE,kxx,R2_R3,0.000554166666666668,0.000916666666666666,0.000554166666666668,0.00118333333333333
famp1,MAE,kyy,R2_R3,0.000620833333333334,0.000583333333333336,0.000258333333333335,0.000620833333333334
famp1,MAE,kzz,R2_R3,0.000891666666666667,0.000679166666666667,0.000558333333333333,0.000891666666666667
famp1,Hellinger,kxx,R2_R3,0.00830165839071879,0.0112045139838555,0.00830165839071879,0.0127399250688381
famp1,Hellinger,kyy,R2_R3,0.0189532368363361,0.0146334873295402,0.0126537722887836,0.0189532368363361
famp1,Hellinger,kzz,R2_R3,0.0163230971438853,0.014194691004289,0.01085584593857,0.0163230971438853
famp1,Wasserstein,kxx,R2_R3,0.00826502711789353,0.00826502711789353,0.00673157433502678,0.0104200505718237
famp1,Wasserstein,kyy,R2_R3,0.0123240954584999,0.0119596141431105,0.00382765389158502,0.0123240954584999
famp1,Wasserstein,kzz,R2_R3,0.0244228473054547,0.0189811328235022,0.00774858257396832,0.0244228473054547
famp2,MAE,kxx,R1_R2,0.000658333333333332,0.000658333333333332,0.0005125,0.000799999999999999
famp2,MAE,kyy,R1_R2,0.000745833333333334,0.000775000000000001,0.000745833333333334,0.000791666666666667
famp2,MAE,kzz,R1_R2,0.000691666666666665,0.000554166666666665,0.000374999999999999,0.000691666666666665
famp2,Hellinger,kxx,R1_R2,0.00983774257600999,0.00985128219056745,0.00983774257600999,0.0136373198668696
famp2,Hellinger,kyy,R1_R2,0.0125886842151268,0.0124975778178118,0.0110652970778127,0.0125886842151268
famp2,Hellinger,kzz,R1_R2,0.0109247214560423,0.00990762826155744,0.00659577978191159,0.0109247214560423
famp2,Wasserstein,kxx,R1_R2,0.0058621475617744,0.0152508763459331,0.0058621475617744,0.0161359420008793
famp2,Wasserstein,kyy,R1_R2,0.00614337756340022,0.00689758398327369,0.00614337756340022,0.0103766362251088
famp2,Wasserstein,kzz,R1_R2,0.0229465399310474,0.012321947124637,0.0113459434008368,0.0229465399310474
famp2,MAE,kxx,R1_R3,0.000799999999999999,0.000658333333333332,0.0005125,0.000799999999999999
famp2,MAE,kyy,R1_R3,0.000775000000000001,0.000775000000000001,0.000745833333333334,0.000791666666666667
famp2,MAE,kzz,R1_R3,0.000374999999999999,0.000554166666666665,0.000374999999999999,0.000691666666666665
famp2,Hellinger,kxx,R1_R3,0.0136373198668696,0.00985128219056745,0.00983774257600999,0.0136373198668696
famp2,Hellinger,kyy,R1_R3,0.0124975778178118,0.0124975778178118,0.0110652970778127,0.0125886842151268
famp2,Hellinger,kzz,R1_R3,0.00990762826155744,0.00990762826155744,0.00659577978191159,0.0109247214560423
famp2,Wasserstein,kxx,R1_R3,0.0152508763459331,0.0152508763459331,0.0058621475617744,0.0161359420008793
famp2,Wasserstein,kyy,R1_R3,0.00689758398327369,0.00689758398327369,0.00614337756340022,0.0103766362251088
famp2,Wasserstein,kzz,R1_R3,0.0113459434008368,0.012321947124637,0.0113459434008368,0.0229465399310474
famp2,MAE,kxx,R2_R3,0.0005125,0.000658333333333332,0.0005125,0.000799999999999999
famp2,MAE,kyy,R2_R3,0.000791666666666667,0.000775000000000001,0.000745833333333334,0.000791666666666667
famp2,MAE,kzz,R2_R3,0.000554166666666665,0.000554166666666665,0.000374999999999999,0.000691666666666665
famp2,Hellinger,kxx,R2_R3,0.00985128219056745,0.00985128219056745,0.00983774257600999,0.0136373198668696
famp2,Hellinger,kyy,R2_R3,0.0110652970778127,0.0124975778178118,0.0110652970778127,0.0125886842151268
famp2,Hellinger,kzz,R2_R3,0.00659577978191159,0.00990762826155744,0.00659577978191159,0.0109247214560423
famp2,Wasserstein,kxx,R2_R3,0.0161359420008793,0.0152508763459331,0.0058621475617744,0.0161359420008793
famp2,Wasserstein,kyy,R2_R3,0.0103766362251088,0.00689758398327369,0.00614337756340022,0.0103766362251088
