Window,Nsim,Repeat,Metric,Component,Score
famp1,20,1,MAE,kxx,0.0226333333333333
famp1,20,1,MAE,kyy,0.0127791666666667
famp1,20,1,MAE,kzz,0.0140541666666667
famp1,20,1,Hellinger,kxx,0.306822703071293
famp1,20,1,Hellinger,kyy,0.247805778295305
famp1,20,1,Hellinger,kzz,0.219438691648624
famp1,20,1,Wasserstein,kxx,0.205601748883383
famp1,20,1,Wasserstein,kyy,0.132868745425736
famp1,20,1,Wasserstein,kzz,0.101015048070656
famp1,20,2,MAE,kxx,0.0176125
famp1,20,2,MAE,kyy,0.0215083333333333
famp1,20,2,MAE,kzz,0.0102541666666667
famp1,20,2,Hellinger,kxx,0.29772429402885
famp1,20,2,Hellinger,kyy,0.27889003926924
famp1,20,2,Hellinger,kzz,0.196440425576212
famp1,20,2,Wasserstein,kxx,0.308479271230865
famp1,20,2,Wasserstein,kyy,0.191425464089679
famp1,20,2,Wasserstein,kzz,0.222361287923637
famp1,20,3,MAE,kxx,0.0240041666666667
famp1,20,3,MAE,kyy,0.0147916666666667
famp1,20,3,MAE,kzz,0.0159791666666667
famp1,20,3,Hellinger,kxx,0.338640766082682
famp1,20,3,Hellinger,kyy,0.208529955063739
famp1,20,3,Hellinger,kzz,0.280833967840289
famp1,20,3,Wasserstein,kxx,0.149034873511025
famp1,20,3,Wasserstein,kyy,0.1472351530118
famp1,20,3,Wasserstein,kzz,0.27639695875907
famp1,20,4,MAE,kxx,0.0210791666666667
famp1,20,4,MAE,kyy,0.0149291666666667
famp1,20,4,MAE,kzz,0.0091875
famp1,20,4,Hellinger,kxx,0.297375508367688
famp1,20,4,Hellinger,kyy,0.216057737985332
famp1,20,4,Hellinger,kzz,0.213610340842563
famp1,20,4,Wasserstein,kxx,0.166925559632917
famp1,20,4,Wasserstein,kyy,0.153804000180694
famp1,20,4,Wasserstein,kzz,0.257557590498708
famp1,20,5,MAE,kxx,0.0120291666666667
famp1,20,5,MAE,kyy,0.00973333333333334
famp1,20,5,MAE,kzz,0.0141875
famp1,20,5,Hellinger,kxx,0.21726977533734
famp1,20,5,Hellinger,kyy,0.253568763139789
famp1,20,5,Hellinger,kzz,0.289337931009181
famp1,20,5,Wasserstein,kxx,0.174500500828732
famp1,20,5,Wasserstein,kyy,0.0997482613337695
famp1,20,5,Wasserstein,kzz,0.2190960298212
famp1,20,6,MAE,kxx,0.0189083333333333
famp1,20,6,MAE,kyy,0.0114375
famp1,20,6,MAE,kzz,0.0287041666666667
famp1,20,6,Hellinger,kxx,0.318137929451134
famp1,20,6,Hellinger,kyy,0.205558713012634
famp1,20,6,Hellinger,kzz,0.354839029826134
famp1,20,6,Wasserstein,kxx,0.278259516158105
famp1,20,6,Wasserstein,kyy,0.101718408671855
famp1,20,6,Wasserstein,kzz,0.243479110214713
famp1,20,7,MAE,kxx,0.0161708333333333
famp1,20,7,MAE,kyy,0.0101916666666667
famp1,20,7,MAE,kzz,0.0182208333333333
famp1,20,7,Hellinger,kxx,0.257020464595957
famp1,20,7,Hellinger,kyy,0.288211290878579
famp1,20,7,Hellinger,kzz,0.201728939268073
famp1,20,7,Wasserstein,kxx,0.153850470678369
famp1,20,7,Wasserstein,kyy,0.287022159342263
famp1,20,7,Wasserstein,kzz,0.0988619512797469
famp1,20,8,MAE,kxx,0.0131833333333333
famp1,20,8,MAE,kyy,0.012275
famp1,20,8,MAE,kzz,0.0179416666666667
famp1,20,8,Hellinger,kxx,0.261041083029319
famp1,20,8,Hellinger,kyy,0.297919952204831
famp1,20,8,Hellinger,kzz,0.20102887590496
famp1,20,8,Wasserstein,kxx,0.215707722705958
famp1,20,8,Wasserstein,kyy,0.142448383372219
famp1,20,8,Wasserstein,kzz,0.194309232718875
famp1,20,9,MAE,kxx,0.0155625
famp1,20,9,MAE,kyy,0.028975
famp1,20,9,MAE,kzz,0.0159125
famp1,20,9,Hellinger,kxx,0.30162823675302
famp1,20,9,Hellinger,kyy,0.332765670603806
famp1,20,9,Hellinger,kzz,0.247099912845351
famp1,20,9,Wasserstein,kxx,0.218429964090961
famp1,20,9,Wasserstein,kyy,0.27649115647649
famp1,20,9,Wasserstein,kzz,0.236559952016908
famp1,20,10,MAE,kxx,0.0189416666666667
famp1,20,10,MAE,kyy,0.0242375
famp1,20,10,MAE,kzz,0.0091875
famp1,20,10,Hellinger,kxx,0.300928648430332
famp1,20,10,Hellinger,kyy,0.279330148343753
famp1,20,10,Hellinger,kzz,0.213610340842563
famp1,20,10,Wasserstein,kxx,0.273070245547781
famp1,20,10,Wasserstein,kyy,0.185969307993368
famp1,20,10,Wasserstein,kzz,0.243466392545777
famp1,20,11,MAE,kxx,0.0219875
famp1,20,11,MAE,kyy,0.0100958333333333
famp1,20,11,MAE,kzz,0.0184125
famp1,20,11,Hellinger,kxx,0.322320041480235
famp1,20,11,Hellinger,kyy,0.213268626723193
famp1,20,11,Hellinger,kzz,0.210566668163972
famp1,20,11,Wasserstein,kxx,0.151154391567479
famp1,20,11,Wasserstein,kyy,0.13049018147051
famp1,20,11,Wasserstein,kzz,0.13258908059339
famp1,20,12,MAE,kxx,0.0262583333333333
famp1,20,12,MAE,kyy,0.0208625
famp1,20,12,MAE,kzz,0.018325
famp1,20,12,Hellinger,kxx,0.37631264416314
famp1,20,12,Hellinger,kyy,0.24918338960589
famp1,20,12,Hellinger,kzz,0.22425651106866
famp1,20,12,Wasserstein,kxx,0.215042977198743
famp1,20,12,Wasserstein,kyy,0.0942392003116237
famp1,20,12,Wasserstein,kzz,0.0868398059419034
famp1,20,13,MAE,kxx,0.0197291666666667
famp1,20,13,MAE,kyy,0.0197708333333333
famp1,20,13,MAE,kzz,0.0122083333333333
famp1,20,13,Hellinger,kxx,0.377249410444282
famp1,20,13,Hellinger,kyy,0.24833525471571
famp1,20,13,Hellinger,kzz,0.221056060555847
famp1,20,13,Wasserstein,kxx,0.202922566616327
famp1,20,13,Wasserstein,kyy,0.101666235290125
famp1,20,13,Wasserstein,kzz,0.229451975323592
famp1,20,14,MAE,kxx,0.0182333333333333
famp1,20,14,MAE,kyy,0.0084
famp1,20,14,MAE,kzz,0.0171291666666667
famp1,20,14,Hellinger,kxx,0.282978929350725
famp1,20,14,Hellinger,kyy,0.199516266752543
famp1,20,14,Hellinger,kzz,0.312754575190386
famp1,20,14,Wasserstein,kxx,0.136202649578258
famp1,20,14,Wasserstein,kyy,0.180637568457029
famp1,20,14,Wasserstein,kzz,0.217035948060518
famp1,20,15,MAE,kxx,0.0205375
famp1,20,15,MAE,kyy,0.0115666666666667
famp1,20,15,MAE,kzz,0.0127416666666667
famp1,20,15,Hellinger,kxx,0.349725890211229
famp1,20,15,Hellinger,kyy,0.224045896335135
famp1,20,15,Hellinger,kzz,0.26138837733998
famp1,20,15,Wasserstein,kxx,0.174820028904995
famp1,20,15,Wasserstein,kyy,0.146904427280313
famp1,20,15,Wasserstein,kzz,0.150729290045398
famp1,20,16,MAE,kxx,0.026475
famp1,20,16,MAE,kyy,0.00865416666666667
famp1,20,16,MAE,kzz,0.0141875
famp1,20,16,Hellinger,kxx,0.367191793728855
famp1,20,16,Hellinger,kyy,0.210557199203213
famp1,20,16,Hellinger,kzz,0.274751847608014
famp1,20,16,Wasserstein,kxx,0.296920573979594
famp1,20,16,Wasserstein,kyy,0.160166664262253
famp1,20,16,Wasserstein,kzz,0.144782073053791
famp1,20,17,MAE,kxx,0.0253958333333333
famp1,20,17,MAE,kyy,0.00900833333333334
famp1,20,17,MAE,kzz,0.00716666666666667
famp1,20,17,Hellinger,kxx,0.336411037609967
famp1,20,17,Hellinger,kyy,0.189434397477062
famp1,20,17,Hellinger,kzz,0.184471480583717
famp1,20,17,Wasserstein,kxx,0.267772023542369
famp1,20,17,Wasserstein,kyy,0.0875566901811039
famp1,20,17,Wasserstein,kzz,0.077853422759191
famp1,20,18,MAE,kxx,0.0196541666666667
famp1,20,18,MAE,kyy,0.0141166666666667
famp1,20,18,MAE,kzz,0.0326166666666667
famp1,20,18,Hellinger,kxx,0.262253544290453
famp1,20,18,Hellinger,kyy,0.27232979099988
famp1,20,18,Hellinger,kzz,0.320380931126825
famp1,20,18,Wasserstein,kxx,0.231730808763321
famp1,20,18,Wasserstein,kyy,0.201765835562858
famp1,20,18,Wasserstein,kzz,0.167876005332586
famp1,20,19,MAE,kxx,0.0193291666666667
