sample_index,log10_kxx,log10_kyy,log10_kzz,cluster
1,-3.1176089058,-1.5692755918,-0.9762389250,2
2,-2.4270011506,-1.1536200455,-1.1310855189,2
3,-4.8778740258,-1.3522809189,-2.6319347445,1
4,-2.0773647781,-1.2181480275,-1.0687069993,2
5,-1.4584583353,-1.0557867614,-1.2020102590,2
6,-1.8324483568,-1.1908018699,-1.5746406966,2
7,-2.0313262085,-1.3265984126,-1.1906863288,2
8,-1.8444369770,-1.1049913011,-4.9863499070,3
9,-2.3942639258,-1.3063264913,-0.9871638563,2
10,-2.1975672794,-1.3485127127,-1.4010387314,2
11,-2.0829524276,-1.1513749177,-0.8101844050,2
12,-1.9202296703,-1.0981548746,-1.0482154041,2
13,-2.0593790710,-1.3571835467,-1.3457353931,2
14,-2.7059283149,-1.1252714040,-0.9119402387,2
15,-2.2550718419,-1.2905491437,-1.7776387057,2
16,-1.9892743093,-1.0338418213,-1.5328870139,2
17,-1.8743957068,-0.9525190381,-0.8529492818,2
18,-2.2251521195,-1.0022945104,-0.9389942830,2
19,-1.9511469811,-1.1245884980,-1.3114666702,2
20,-1.9774682610,-1.1297167552,-0.9919526604,2
21,-1.8329744671,-1.2517123358,-0.7687422947,2
22,-5.1582413009,-1.2855488130,-5.0185804779,3
23,-2.8157087697,-1.5391732978,-1.7383550565,2
24,-2.8645554979,-0.9930792740,-1.0009464097,2
25,-3.2747425556,-1.0544367594,-1.0211880273,2
26,-2.3494376618,-1.1034567933,-0.9169756050,2
27,-2.0703650410,-1.8654037475,-1.0885926978,2
28,-2.5787976001,-1.2197473419,-0.8652400050,2
29,-2.7000835643,-1.2553343227,-1.2206737207,2
30,-1.8695444329,-1.1926878584,-1.1360937168,2
31,-3.2121946772,-1.3213629503,-0.9983330434,2
32,-2.4356587323,-1.1981309126,-0.9674211918,2
33,-2.1019931146,-1.0840034971,-1.2127062138,2
34,-2.4837049950,-1.1820044169,-1.0370316444,2
35,-2.2008523147,-1.5054666940,-0.9416553204,2
36,-2.8787862245,-1.2241230321,-1.3775646899,2
37,-3.8757626016,-1.1280433304,-1.3134285795,1
38,-4.1435106311,-1.7095563338,-1.6697287696,1
39,-1.5438656091,-1.1852192947,-1.0011134501,2
40,-1.9153235886,-4.7455277850,-0.9841385867,2
41,-2.3602091763,-1.2545538722,-1.1592008834,2
42,-5.0714776367,-0.8087521475,-1.3479897120,1
43,-2.0742484793,-1.2986831587,-1.2251879950,2
44,-1.8953222234,-1.5986472491,-4.7841452220,3
45,-2.6388830130,-1.3646260897,-1.3379234910,2
46,-4.0576642187,-0.6455502531,-0.7259345029,1
47,-3.0698656510,-1.3791502805,-4.7068461644,3
48,-2.2859524559,-0.9461746081,-0.8204096807,2
49,-1.6433645129,-0.7762540697,-4.8878498083,3
50,-1.8224551357,-1.2052977218,-1.3275447565,2
51,-2.7809044569,-0.7154909139,-0.9940367211,2
52,-2.6568871152,-1.3093016659,-1.0881041363,2
53,-1.8436160565,-0.8481311617,-1.3506324837,2
54,-2.2961789641,-0.8148750776,-1.0243939075,2
55,-2.2160420767,-2.2680491016,-1.3071752816,2
56,-2.1013138416,-0.7247310407,-0.5183237768,2
57,-1.5917621084,-1.0638593485,-2.0058987800,2
58,-2.1121821404,-1.5217506463,-1.0560377853,2
59,-1.8473294932,-1.0577797301,-1.1314743390,2
60,-1.9512846494,-1.1744201353,-1.1923392035,2
61,-2.0257325199,-0.9876660233,-0.6473980909,2
62,-2.1077075823,-1.4454721148,-0.6012558750,2
63,-2.5621110939,-1.3069231340,-0.9694115839,2
64,-2.1326316046,-1.1100047631,-1.0335992306,2
65,-1.7913552319,-1.0728902391,-1.1396370949,2
66,-2.5433389575,-1.0374542749,-1.2154813464,2
67,-5.2650021217,-1.0504708882,-1.6842400637,1
68,-1.8039141680,-1.0524920629,-1.4093650491,2
69,-5.7990469572,-1.5680353095,-5.0883205990,3
70,-1.4046192756,-1.2106984220,-1.3338729907,2
71,-2.4395790118,-1.3831966272,-1.3229928637,2
72,-2.2313473545,-1.2414637761,-1.0243480998,2
73,-1.6623693447,-1.2327001535,-0.9038457730,2
74,-1.6114617952,-1.6454679507,-1.2969982799,2
75,-5.2292559148,-1.3057246964,-1.0400354426,1
76,-5.5341674924,-1.3542318592,-5.2375193547,3
77,-1.4516892366,-1.0703036126,-1.6901232156,2
78,-2.1346132117,-1.3798238113,-0.7169468877,2
79,-2.2773646632,-1.4017370424,-0.9938199776,2
80,-2.3520687586,-1.9235829617,-1.2311013360,2
81,-2.0319492051,-2.1583463768,-0.7555133056,2
82,-2.2430938128,-1.1064917592,-1.2146202741,2
83,-2.1789395357,-1.3409585406,-1.0082199217,2
84,-2.3240238723,-1.1643634057,-0.6831974705,2
