Window,CaseIndex,CaseLabel,FaultingDepth,SandVcl,ClayVcl,TargetN,NumAttempts,NumRejected,AcceptanceRatio,SeedBase,CheckpointFile
famp1,1,case_001_zf0050_svcl010_cvcl040,50,0.1,0.4,2000,2000,0,1,101001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp1\case_001_zf0050_svcl010_cvcl040\predict_runs.mat
famp1,2,case_002_zf0050_svcl010_cvcl050,50,0.1,0.5,2000,2000,0,1,102001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp1\case_002_zf0050_svcl010_cvcl050\predict_runs.mat
famp1,3,case_003_zf0050_svcl010_cvcl060,50,0.1,0.6,2000,2000,0,1,103001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp1\case_003_zf0050_svcl010_cvcl060\predict_runs.mat
famp1,4,case_004_zf0050_svcl020_cvcl040,50,0.2,0.4,2000,2000,0,1,104001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp1\case_004_zf0050_svcl020_cvcl040\predict_runs.mat
famp1,5,case_005_zf0050_svcl020_cvcl050,50,0.2,0.5,2000,2000,0,1,105001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp1\case_005_zf0050_svcl020_cvcl050\predict_runs.mat
famp1,6,case_006_zf0050_svcl020_cvcl060,50,0.2,0.6,2000,2000,0,1,106001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp1\case_006_zf0050_svcl020_cvcl060\predict_runs.mat
famp1,7,case_007_zf0050_svcl030_cvcl040,50,0.3,0.4,2000,2000,0,1,107001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp1\case_007_zf0050_svcl030_cvcl040\predict_runs.mat
famp1,8,case_008_zf0050_svcl030_cvcl050,50,0.3,0.5,2000,2000,0,1,108001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp1\case_008_zf0050_svcl030_cvcl050\predict_runs.mat
famp1,9,case_009_zf0050_svcl030_cvcl060,50,0.3,0.6,2000,2000,0,1,109001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp1\case_009_zf0050_svcl030_cvcl060\predict_runs.mat
famp1,10,case_010_zf0500_svcl010_cvcl040,500,0.1,0.4,2000,2001,1,0.999500249875062,110001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp1\case_010_zf0500_svcl010_cvcl040\predict_runs.mat
famp1,11,case_011_zf0500_svcl010_cvcl050,500,0.1,0.5,2000,2000,0,1,111001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp1\case_011_zf0500_svcl010_cvcl050\predict_runs.mat
famp1,12,case_012_zf0500_svcl010_cvcl060,500,0.1,0.6,2000,2000,0,1,112001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp1\case_012_zf0500_svcl010_cvcl060\predict_runs.mat
famp1,13,case_013_zf0500_svcl020_cvcl040,500,0.2,0.4,2000,2001,1,0.999500249875062,113001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp1\case_013_zf0500_svcl020_cvcl040\predict_runs.mat
famp1,14,case_014_zf0500_svcl020_cvcl050,500,0.2,0.5,2000,2000,0,1,114001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp1\case_014_zf0500_svcl020_cvcl050\predict_runs.mat
famp1,15,case_015_zf0500_svcl020_cvcl060,500,0.2,0.6,2000,2000,0,1,115001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp1\case_015_zf0500_svcl020_cvcl060\predict_runs.mat
famp1,16,case_016_zf0500_svcl030_cvcl040,500,0.3,0.4,2000,2000,0,1,116001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp1\case_016_zf0500_svcl030_cvcl040\predict_runs.mat
famp1,17,case_017_zf0500_svcl030_cvcl050,500,0.3,0.5,2000,2000,0,1,117001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp1\case_017_zf0500_svcl030_cvcl050\predict_runs.mat
famp1,18,case_018_zf0500_svcl030_cvcl060,500,0.3,0.6,2000,2000,0,1,118001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp1\case_018_zf0500_svcl030_cvcl060\predict_runs.mat
famp1,19,case_019_zf1000_svcl010_cvcl040,1000,0.1,0.4,2000,2000,0,1,119001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp1\case_019_zf1000_svcl010_cvcl040\predict_runs.mat
famp1,20,case_020_zf1000_svcl010_cvcl050,1000,0.1,0.5,2000,2000,0,1,120001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp1\case_020_zf1000_svcl010_cvcl050\predict_runs.mat
famp1,21,case_021_zf1000_svcl010_cvcl060,1000,0.1,0.6,2000,2000,0,1,121001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp1\case_021_zf1000_svcl010_cvcl060\predict_runs.mat
famp1,22,case_022_zf1000_svcl020_cvcl040,1000,0.2,0.4,2000,2000,0,1,122001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp1\case_022_zf1000_svcl020_cvcl040\predict_runs.mat
famp1,23,case_023_zf1000_svcl020_cvcl050,1000,0.2,0.5,2000,2000,0,1,123001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp1\case_023_zf1000_svcl020_cvcl050\predict_runs.mat
famp1,24,case_024_zf1000_svcl020_cvcl060,1000,0.2,0.6,2000,2000,0,1,124001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp1\case_024_zf1000_svcl020_cvcl060\predict_runs.mat
famp1,25,case_025_zf1000_svcl030_cvcl040,1000,0.3,0.4,2000,2000,0,1,125001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp1\case_025_zf1000_svcl030_cvcl040\predict_runs.mat
famp1,26,case_026_zf1000_svcl030_cvcl050,1000,0.3,0.5,2000,2000,0,1,126001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp1\case_026_zf1000_svcl030_cvcl050\predict_runs.mat
famp1,27,case_027_zf1000_svcl030_cvcl060,1000,0.3,0.6,2000,2000,0,1,127001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp1\case_027_zf1000_svcl030_cvcl060\predict_runs.mat
famp2,1,case_001_zf0050_svcl010_cvcl040,50,0.1,0.4,2000,2000,0,1,201001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp2\case_001_zf0050_svcl010_cvcl040\predict_runs.mat
famp2,2,case_002_zf0050_svcl010_cvcl050,50,0.1,0.5,2000,2000,0,1,202001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp2\case_002_zf0050_svcl010_cvcl050\predict_runs.mat
famp2,3,case_003_zf0050_svcl010_cvcl060,50,0.1,0.6,2000,2000,0,1,203001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp2\case_003_zf0050_svcl010_cvcl060\predict_runs.mat
famp2,4,case_004_zf0050_svcl020_cvcl040,50,0.2,0.4,2000,2000,0,1,204001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp2\case_004_zf0050_svcl020_cvcl040\predict_runs.mat
famp2,5,case_005_zf0050_svcl020_cvcl050,50,0.2,0.5,2000,2000,0,1,205001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp2\case_005_zf0050_svcl020_cvcl050\predict_runs.mat
famp2,6,case_006_zf0050_svcl020_cvcl060,50,0.2,0.6,2000,2000,0,1,206001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp2\case_006_zf0050_svcl020_cvcl060\predict_runs.mat
famp2,7,case_007_zf0050_svcl030_cvcl040,50,0.3,0.4,2000,2000,0,1,207001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp2\case_007_zf0050_svcl030_cvcl040\predict_runs.mat
