ScenarioIndex,ScenarioLabel,ScenarioName,Window,FWPattern,HWPattern
1,scenario_01_low_sand_uniform,"low sand, uniform",famp1,SC,SCCC
1,scenario_01_low_sand_uniform,"low sand, uniform",famp2,SCCC,SCCC
1,scenario_01_low_sand_uniform,"low sand, uniform",famp3,SCCC,SCCC
1,scenario_01_low_sand_uniform,"low sand, uniform",famp4,SCCC,SCCC
1,scenario_01_low_sand_uniform,"low sand, uniform",famp5,SCCC,SCCC
1,scenario_01_low_sand_uniform,"low sand, uniform",famp6,SCCC,S
2,scenario_02_medium_sand_uniform,"medium sand, uniform",famp1,SC,SCSC
2,scenario_02_medium_sand_uniform,"medium sand, uniform",famp2,SCSC,SCSC
2,scenario_02_medium_sand_uniform,"medium sand, uniform",famp3,SCSC,SCSC
2,scenario_02_medium_sand_uniform,"medium sand, uniform",famp4,SCSC,SCSC
2,scenario_02_medium_sand_uniform,"medium sand, uniform",famp5,SCSC,SCSC
2,scenario_02_medium_sand_uniform,"medium sand, uniform",famp6,SCSC,S
3,scenario_03_high_sand_uniform,"high sand, uniform",famp1,SC,SSSC
3,scenario_03_high_sand_uniform,"high sand, uniform",famp2,SSSC,SSSC
3,scenario_03_high_sand_uniform,"high sand, uniform",famp3,SSSC,SSSC
3,scenario_03_high_sand_uniform,"high sand, uniform",famp4,SSSC,SSSC
3,scenario_03_high_sand_uniform,"high sand, uniform",famp5,SSSC,SSSC
3,scenario_03_high_sand_uniform,"high sand, uniform",famp6,SSSC,S
4,scenario_04_low_sand_nonuniform,"low sand, nonuniform",famp1,SC,SCCS
4,scenario_04_low_sand_nonuniform,"low sand, nonuniform",famp2,SCCS,CCCC
4,scenario_04_low_sand_nonuniform,"low sand, nonuniform",famp3,CCCC,SCCS
4,scenario_04_low_sand_nonuniform,"low sand, nonuniform",famp4,SCCS,CCCC
4,scenario_04_low_sand_nonuniform,"low sand, nonuniform",famp5,CCCC,SCCC
4,scenario_04_low_sand_nonuniform,"low sand, nonuniform",famp6,SCCC,S
5,scenario_05_medium_sand_nonuniform,"medium sand, nonuniform",famp1,SC,SSSC
5,scenario_05_medium_sand_nonuniform,"medium sand, nonuniform",famp2,SSSC,SCCC
5,scenario_05_medium_sand_nonuniform,"medium sand, nonuniform",famp3,SCCC,SSCC
5,scenario_05_medium_sand_nonuniform,"medium sand, nonuniform",famp4,SSCC,SCCC
5,scenario_05_medium_sand_nonuniform,"medium sand, nonuniform",famp5,SCCC,SSSC
5,scenario_05_medium_sand_nonuniform,"medium sand, nonuniform",famp6,SSSC,S
6,scenario_06_high_sand_nonuniform,"high sand, nonuniform",famp1,SC,SSSC
6,scenario_06_high_sand_nonuniform,"high sand, nonuniform",famp2,SSSC,SSSS
6,scenario_06_high_sand_nonuniform,"high sand, nonuniform",famp3,SSSS,CSSC
6,scenario_06_high_sand_nonuniform,"high sand, nonuniform",famp4,CSSC,SSSS
6,scenario_06_high_sand_nonuniform,"high sand, nonuniform",famp5,SSSS,CSSC
6,scenario_06_high_sand_nonuniform,"high sand, nonuniform",famp6,CSSC,S
