Window,Component,N,Mean_mD,Std_mD,P05_mD,P25_mD,Median_mD,P75_mD,P95_mD
famp1,Kx,2000,0.0931604291311787,0.0863778197040879,0.000122287072814347,0.0281486676015288,0.0721651085781911,0.132876551052247,0.261149049826768
famp1,Ky,2000,0.646678801890317,0.546041908553525,0.0484472811589211,0.355880174777948,0.560241363543184,0.829348746522323,1.39942677050484
famp1,Kz,2000,0.590074186104802,0.508670833883885,3.91419465099651e-05,0.204392329158609,0.50071741894095,0.837589260325527,1.49694322108778
famp2,Kx,2000,0.00996827571640279,0.0411297785869604,8.26481829024881e-06,2.00740469323939e-05,7.12188573483712e-05,0.000353605990014622,0.0750542092129001
famp2,Ky,2000,0.079458513763017,0.250910708843935,2.46474344989981e-05,5.27460723956443e-05,0.00516823951710833,0.076918743353491,0.314691729513613
famp2,Kz,2000,0.442087270780266,0.423709463416103,4.33664511016969e-05,0.10521444051823,0.352091575497293,0.656220252104565,1.28016998904284
famp3,Kx,2000,0.0127400807204771,0.0500372467801146,9.33689684647097e-06,2.09143825214082e-05,8.18664703120217e-05,0.000462667480989171,0.0922765607173024
famp3,Ky,2000,0.0810718283303133,0.219416064805335,2.60668934088975e-05,5.06229253542672e-05,0.000163516485686354,0.0776362875891773,0.379520761612733
famp3,Kz,2000,0.62934272019721,0.57766544721468,4.61975330197927e-05,0.153278050520638,0.499737837831593,0.949710416369934,1.78002732598056
famp4,Kx,2000,0.0158853346392219,0.0694726097313971,1.00917969958108e-05,2.5002411051316e-05,0.000137703200286813,0.000641792347538445,0.112150582870134
famp4,Ky,2000,0.139565842857106,0.746476211238325,2.77557776398925e-05,5.48256389904636e-05,0.00015604049608821,0.103524047588063,0.582086430881643
famp4,Kz,2000,0.997289573541715,0.928277898656044,5.35089961366415e-05,0.232254529466198,0.818460933475882,1.50748740900493,2.70399457794196
famp5,Kx,2000,0.0256951163737372,0.118167128948188,1.22328526113322e-05,2.78053441824161e-05,0.000159258970873852,0.00083230110205553,0.169347044193726
famp5,Ky,2000,0.166375164037002,0.427945779132673,3.20589954509903e-05,6.03865400468085e-05,0.000137457580147888,0.152445174408247,0.813966609957767
famp5,Kz,2000,1.35565852692603,1.29220085220209,6.19255606465467e-05,0.312322299065445,1.03917754032804,2.07425673580995,3.79668342732728
famp6,Kx,2000,0.147646924130682,0.264248977290714,1.6962088216238e-05,3.54578023356108e-05,0.00433662595210932,0.219735929629845,0.649926457234085
famp6,Ky,2000,3.01483939522247,4.48665180437126,0.376623252423123,0.67199640344182,1.31965671842709,3.90364846238813,9.66890742915217
famp6,Kz,2000,2.5602613800721,3.15827673440388,7.01669873447869e-05,0.0843307232791774,1.26980678991772,4.14199810110324,8.78680940516407
