variant,component,log10k
current_sssc_fixed_grid,kxx,-4.292296724348705
current_sssc_fixed_grid,kxx,-3.911129647642099
current_sssc_fixed_grid,kxx,-4.319767898316016
current_sssc_fixed_grid,kxx,-3.999647201703435
current_sssc_fixed_grid,kxx,-3.85746316514281
current_sssc_fixed_grid,kxx,-3.990699161519447
current_sssc_fixed_grid,kxx,-4.343583784445927
current_sssc_fixed_grid,kxx,-3.9763357162951243
current_sssc_fixed_grid,kxx,-3.9174291480806698
current_sssc_fixed_grid,kxx,-4.209192923775065
current_sssc_fixed_grid,kxx,-0.09738711845890571
current_sssc_fixed_grid,kxx,-0.031396072711672975
current_sssc_fixed_grid,kxx,-4.291827582321133
current_sssc_fixed_grid,kxx,-4.179466145921104
current_sssc_fixed_grid,kxx,-4.141399748624328
current_sssc_fixed_grid,kxx,-4.005987942797524
current_sssc_fixed_grid,kxx,-4.097438462546817
current_sssc_fixed_grid,kxx,-4.469397647916187
current_sssc_fixed_grid,kxx,-4.019558254729897
current_sssc_fixed_grid,kxx,-4.43717903956684
current_sssc_fixed_grid,kxx,-0.021043227823104176
current_sssc_fixed_grid,kxx,-0.232404838122162
current_sssc_fixed_grid,kxx,-3.971831558031404
current_sssc_fixed_grid,kxx,0.009801622461395739
current_sssc_fixed_grid,kxx,-3.9053992774088164
current_sssc_fixed_grid,kxx,-4.095243151532184
current_sssc_fixed_grid,kxx,-4.224590286898821
current_sssc_fixed_grid,kxx,-3.9420358029195577
current_sssc_fixed_grid,kxx,-3.9294780297859035
current_sssc_fixed_grid,kxx,-4.081471548875677
current_sssc_fixed_grid,kxx,-4.4541562226892495
current_sssc_fixed_grid,kxx,-4.1192947890767675
current_sssc_fixed_grid,kxx,-4.048876597818357
current_sssc_fixed_grid,kxx,-4.3455931777675225
current_sssc_fixed_grid,kxx,-4.364028039925798
current_sssc_fixed_grid,kxx,-3.818004880862526
current_sssc_fixed_grid,kxx,-4.263622196545674
current_sssc_fixed_grid,kxx,-3.936942002711054
current_sssc_fixed_grid,kxx,0.2436502434579299
current_sssc_fixed_grid,kxx,-0.7305647253521237
current_sssc_fixed_grid,kxx,-4.220690643697162
current_sssc_fixed_grid,kxx,-4.452170121598478
current_sssc_fixed_grid,kxx,-4.299502752997818
current_sssc_fixed_grid,kxx,-4.037610195532878
current_sssc_fixed_grid,kxx,-4.1642693709356315
current_sssc_fixed_grid,kxx,-0.43619132664467736
current_sssc_fixed_grid,kxx,-4.275479500806763
current_sssc_fixed_grid,kxx,-3.833401647165756
current_sssc_fixed_grid,kxx,-4.041306567918393
current_sssc_fixed_grid,kxx,-3.9510462031660896
current_sssc_fixed_grid,kxx,-0.1245089717428688
current_sssc_fixed_grid,kxx,-4.288207991506533
current_sssc_fixed_grid,kxx,-4.0541489534072
current_sssc_fixed_grid,kxx,-4.354363145814128
current_sssc_fixed_grid,kxx,-3.794452247278512
current_sssc_fixed_grid,kxx,-3.892523210898226
current_sssc_fixed_grid,kxx,-4.274748585681403
current_sssc_fixed_grid,kxx,-4.255976447869186
current_sssc_fixed_grid,kxx,0.0683680599486851
current_sssc_fixed_grid,kxx,-0.8505543138731342
current_sssc_fixed_grid,kxx,-4.1583633538590075
current_sssc_fixed_grid,kxx,-4.276666577970235
current_sssc_fixed_grid,kxx,-4.036588479620643
current_sssc_fixed_grid,kxx,-4.021056552211815
current_sssc_fixed_grid,kxx,-0.1837741594597605
current_sssc_fixed_grid,kxx,-4.392718805290056
current_sssc_fixed_grid,kxx,-4.1399107481653905
current_sssc_fixed_grid,kxx,-4.159540237679177
current_sssc_fixed_grid,kxx,-4.790804834273809
current_sssc_fixed_grid,kxx,-4.109134361566673
current_sssc_fixed_grid,kxx,-4.166739432335342
current_sssc_fixed_grid,kxx,-4.382866408991591
current_sssc_fixed_grid,kxx,-3.9876407803764313
current_sssc_fixed_grid,kxx,-0.59307418327333
