Component,Nsim,W1,W2,W3,W4,W5,W6
kxx,20,0.0232791666666667,0.0178583333333333,0.015825,0.0172208333333333,0.0167833333333333,0.01690625
kxx,50,0.013625,0.01089375,0.0118895833333333,0.0122125,0.01046875,0.0106916666666667
kxx,100,0.00926041666666667,0.00675625,0.00705416666666667,0.008675,0.0074875,0.00662291666666667
kxx,200,0.00710833333333333,0.00498541666666667,0.00540208333333333,0.00544791666666667,0.00549375,0.00533125
kxx,300,0.00569097222222222,0.00379097222222222,0.00447569444444445,0.00426597222222222,0.00447430555555556,0.00490486111111111
kxx,400,0.0049875,0.00329166666666667,0.00382708333333333,0.00399166666666667,0.00391458333333333,0.00355208333333334
kxx,500,0.0044875,0.00308333333333333,0.00305416666666667,0.00351458333333333,0.00380625,0.00334583333333333
kxx,750,0.00347083333333333,0.00279513888888889,0.00251041666666667,0.00294444444444444,0.00275972222222222,0.00284236111111111
kxx,1000,0.00311041666666667,0.00212708333333333,0.00237291666666667,0.00274166666666667,0.00243333333333333,0.0027375
kxx,1500,0.00268680555555556,0.00179027777777778,0.00234027777777778,0.00240416666666667,0.00194097222222222,0.00207430555555556
kxx,2000,0.00215625,0.00149791666666667,0.00160625,0.00185625,0.00204166666666667,0.00182708333333333
kyy,20,0.0171791666666667,0.0123604166666667,0.01201875,0.0107541666666667,0.00973333333333333,0.0156708333333333
kyy,50,0.0110854166666667,0.00869583333333333,0.00730833333333334,0.00631041666666666,0.00824375,0.00880416666666667
kyy,100,0.00809375,0.00632291666666667,0.00502083333333333,0.00595416666666667,0.00502083333333333,0.00684375
kyy,200,0.00494791666666667,0.00447708333333333,0.00419583333333333,0.00401875,0.00385416666666667,0.004625
kyy,300,0.00432430555555556,0.00386944444444444,0.0030875,0.00327986111111111,0.00358194444444444,0.00418888888888889
kyy,400,0.00389791666666667,0.00277708333333333,0.00300208333333333,0.0027875,0.00265208333333334,0.00364791666666667
kyy,500,0.00359791666666667,0.00299375,0.00261041666666667,0.00247083333333333,0.00233125,0.00313333333333333
kyy,750,0.00296458333333333,0.00226736111111111,0.00218263888888889,0.00201666666666667,0.00203472222222222,0.00222708333333333
kyy,1000,0.00244375,0.0018625,0.00188958333333333,0.00168333333333333,0.0017875,0.00206458333333333
kyy,1500,0.00202638888888889,0.00151111111111111,0.00143402777777778,0.00152638888888889,0.00131111111111111,0.001825
kyy,2000,0.00182916666666667,0.00150833333333334,0.00141666666666667,0.00118541666666667,0.00124375,0.00151875
kzz,20,0.0160104166666667,0.01984375,0.0194708333333333,0.0201625,0.0210958333333333,0.0211791666666667
kzz,50,0.01025,0.01250625,0.0116104166666667,0.0130708333333333,0.01346875,0.0121916666666667
kzz,100,0.0065625,0.00844791666666667,0.00840208333333333,0.00950833333333333,0.0100020833333333,0.00957708333333333
kzz,200,0.0047625,0.00648958333333333,0.00608958333333333,0.00708125,0.00594583333333333,0.00630208333333333
kzz,300,0.00411180555555555,0.00461458333333333,0.00564791666666667,0.00498888888888889,0.00600694444444444,0.00545763888888889
kzz,400,0.00363125,0.00474166666666666,0.00471875,0.00437916666666667,0.00481666666666667,0.0051375
kzz,500,0.00329166666666667,0.00419791666666667,0.00419375,0.00357708333333333,0.00407916666666667,0.00375625
kzz,750,0.00262083333333333,0.00338888888888889,0.00323541666666667,0.00311944444444445,0.00332569444444444,0.00362638888888889
kzz,1000,0.0023375,0.00261041666666667,0.00329791666666667,0.00287291666666667,0.00330833333333333,0.00318958333333333
kzz,1500,0.00186041666666667,0.00241180555555555,0.00237708333333333,0.00236805555555556,0.00252916666666666,0.00233125
kzz,2000,0.00160208333333333,0.00183333333333333,0.00212083333333333,0.00210416666666667,0.00231875,0.00216666666666667
