Component,Nsim,W1,W2,W3,W4,W5,W6
kxx,20,0.229064132765291,0.12928697751936,0.153173775494584,0.142932364653781,0.157623573543552,0.36087310448161
kxx,50,0.171425164608948,0.0944698805055765,0.104550136873646,0.0931454168231446,0.108843787817202,0.179927675244856
kxx,100,0.129926741203463,0.0579488683131091,0.0566999279283647,0.06956258697308,0.0688920255832263,0.137939114210156
kxx,200,0.0861250788543185,0.0447700901756099,0.046813565137569,0.0478798486887219,0.0525065438683756,0.107770885747222
kxx,300,0.0671765567795783,0.0339049311484343,0.0388628011746613,0.0392108877872362,0.0441653451601173,0.0804539265795674
kxx,400,0.0584379195757884,0.0264394243256161,0.0346145225820251,0.031129025458358,0.0344437600475073,0.0889983161881006
kxx,500,0.0528073830463687,0.0247170514076257,0.0304643028986434,0.0309577271464913,0.0307501064788475,0.0529871352850365
kxx,750,0.0496546753103306,0.0217883878506511,0.0214812189079548,0.0258064723852437,0.0272692306314468,0.0407373080845301
kxx,1000,0.0337744411293305,0.0165765818021712,0.019958670376267,0.0257479027554019,0.0224389903403501,0.0601279054782971
kxx,1500,0.0308546310173522,0.0151165543595901,0.0178586942078045,0.0195876717361955,0.0157242186513245,0.0334307441810759
kxx,2000,0.0239222138018549,0.0125025000607879,0.0146260498277104,0.0181044467632308,0.017656580716676,0.0370447017702457
kyy,20,0.202851791886829,0.178538242396806,0.166267252691891,0.169301027916862,0.152892108581712,0.119865700664091
kyy,50,0.121096933001824,0.107463415093494,0.0912721363414002,0.0962254359983731,0.113422031387443,0.0633522745260829
kyy,100,0.0869138568920016,0.0784006995120114,0.0749457799908625,0.0863702575221941,0.0716895038660787,0.0643998046363818
kyy,200,0.0569559130577143,0.0535231370310012,0.0492151568773356,0.0531053366340679,0.058905460756428,0.0416118760041879
kyy,300,0.0613915684260051,0.0457930908607122,0.0348457073895898,0.03933238170741,0.0423124024020916,0.0319443344618571
kyy,400,0.0517211068618076,0.0346535999553115,0.0359697683103641,0.033729360028761,0.0373835089593397,0.0249234836695011
kyy,500,0.046117080205859,0.0334387389169203,0.0313803032245525,0.032914153587752,0.0314013767362437,0.0240993772300922
kyy,750,0.0348616437191731,0.0260017188045383,0.0212386813949023,0.0240617450679033,0.0300819369683618,0.0209218659665898
kyy,1000,0.0287536930668399,0.0257532607167189,0.0243184238835807,0.0214866251597895,0.0267868314683672,0.0163460269750859
kyy,1500,0.0296783577215807,0.0236420598051287,0.0205598214748134,0.020636918017377,0.0183074106396776,0.0145690965354506
kyy,2000,0.0228079044013191,0.0173146827339068,0.0151183195421081,0.0133623216215768,0.0182189086590691,0.0113680899199636
kzz,20,0.230561532063639,0.276659955633424,0.296355214157503,0.224809172263984,0.298195133762095,0.243094166346214
kzz,50,0.137127317538715,0.221727628475466,0.136807199476956,0.19164730525722,0.189869054105469,0.138487494969916
kzz,100,0.0971319230512159,0.123921872461492,0.134985557714486,0.131432545961584,0.127950082310425,0.113519567008115
kzz,200,0.0648098385651799,0.0867276487708437,0.0912574459705252,0.0946898904285301,0.0837968586253528,0.0773659287234231
kzz,300,0.0506525584297222,0.0609655324993984,0.0648834339170718,0.0663444428862144,0.0784251080968837,0.0745532039804193
kzz,400,0.0459993893122127,0.0562185486196132,0.0710408631076248,0.0556573063148599,0.0724945354063348,0.0616186474620647
kzz,500,0.0411589278241874,0.0506090790420753,0.0544791052196552,0.048528291952274,0.054145579559904,0.0537588952309666
kzz,750,0.0338775467047252,0.049331244429545,0.0400285235425617,0.0408280935757555,0.0466239168900361,0.0404238531067279
kzz,1000,0.0292020637152762,0.034148551774713,0.0401030023488227,0.0350168024768579,0.0409390514021479,0.0375084811928686
kzz,1500,0.023337572947468,0.035324882778111,0.0371171637578224,0.0287871866963959,0.0361986190585551,0.0307688020410084
kzz,2000,0.0244969034542024,0.0306522495177812,0.0270324777714929,0.0220257442378253,0.0314560922361639,0.0263139199700493
